公車名稱,站牌名稱
109,聯勤陽明山招待所
109,福壽橋
109,格致大亨路口
109,磺溪底
109,陽明山國小
109,福音
109,陽明教養院
109,永福(林語堂故居)
109,永嶺
109,拔子埔
109,嶺頭
109,民族東路口
109,稻江護校
109,中山國小(新生)
109,民權吉林路口
109,信義新生路口
109,金華新生路口
109,和平新生路口
109,龍安國小(公務人力發展學院)
109,臺大綜合體育館
109,臺大
109,捷運公館站
109,興隆國小
109,捷運萬芳醫院站
109,臺灣警察專科學校
109,文山運動中心(萬芳)
109,棕櫚泉社區
109,萬利街口
109,捷運萬芳社區站
111,陽明山國家公園管理處
111,陽明山
111,中山樓
111,教師中心
111,聯勤陽明山招待所
111,福壽橋
111,格致大亨路口
111,磺溪底
111,陽明山國小
111,福音
111,陽明教養院
111,永福(林語堂故居)
111,永嶺
111,拔子埔
111,嶺頭
111,捷運士林站(中正)
111,劍潭國小
111,明倫高中
111,民權大龍街口
111,捷運頭前庄站
111,大眾廟
111,捷運新莊站(新莊郵局)
111,丹鳳國小
111,捷運迴龍站
128,湖田橋
128,竹子湖派出所
128,陽明山國家公園管理處
128,頂坪
128,陽明山立體停車場(草山行館)
128,陽明公園服務中心
128,陽明山立體停車場(草山行館)
128,頂坪
128,第一展望
128,紗帽山登山口(紗帽)
128,頂半嶺
128,大埔(明玄宮)
128,第二展望
128,水井尾
128,紗帽橋
128,行義路
128,明山宮一
128,明山宮
128,磺溪
128,福德廟(行義)
128,福德廟(石牌)
128,永欣里
129,湖田橋
129,竹子湖派出所
129,水雲澗
129,陽明書屋
129,氣象台
129,磺仔外
129,童軍站
129,頂湖活動中心
129,大同之家
129,彌陀寺(硫磺谷)
129,泉源別墅
129,上北投
129,八勝園
129,郵政訓練所
129,源之鄉
129,捷運北投站(北投)
179,金瓜石(黃金博物館)
179,隔頂
179,九份老街
179,九份派出所
179,九號停車場一
179,流籠腳
179,區民廣場
179,瑞芳火車站
201,萬華車站
201,莒光路口
201,萬大路
201,西藏路口
201,德昌街口
201,萬大國小
201,果菜市場
201,華中橋
201,員山公園
201,積穗國中
201,員山派出所
201,中和高中(員山路)
201,連城路
201,連城中正路口
201,中和國民運動中心
202,捷運國父紀念館站(光復)
202,光復路口
202,美仁里
202,臺視
202,臺安醫院
202,長安復興路口
202,長安龍江路口
202,中山女高
202,小南門
202,聯合醫院和平院區
202,大埔街
202,莒光派出所
