route_id,route_name,is_processed
0111000900,紅9,False
0111001000,紅10,False
0111001020,紅10區,False
0111001200,紅12,False
0411001300,紅13,False
0111001500,紅15,False
0111001900,紅19,False
0411002200,紅22,False
0411002300,紅23,False
0111002500,紅25,False
0111002520,紅25區,False
0411002600,紅26,False
0411002700,紅27,False
0411002800,紅28,False
0411002830,紅28直,False
0111002900,紅29,False
0111003000,紅30,False
0111003100,紅31,False
0111003300,紅33,False
0111003500,紅35,False
0111003520,紅35區,False
0411003600,紅36,False
0411003700,紅37,False
0411003790,紅37行經海洋都心社區,False
0411003800,紅38,False
0411003900,紅39,False
0111005000,紅50,False
0411005100,紅51,False
0411005300,紅53,False
0111005500,紅55,False
0111005520,紅55區,False
0111005700,紅57,False
0111006800,紅68,False
0412000100,藍1,False
0412000200,藍2,False
0112000500,藍5,False
0112000700,藍7,False
0112000710,藍7副,False
0112001000,藍10,False
0412001500,藍15,False
0412001700,藍17,False
0412001800,藍18,False
0112002020,藍20區,False
0412002100,藍21,False
0412002110,藍21副,False
0412002200,藍22,False
0412002300,藍23,False
0112002500,藍25,False
0112002600,藍26,False
0112002700,藍27,False
0112002800,藍28,False
0112002900,藍29,False
0412003100,藍31,False
0412003200,藍32,False
0412003300,藍33,False
0412003500,藍35,False
0112003600,藍36,False
0412003700,藍37,False
0412003800,藍38,False
0412003900,藍39,False
0412004000,藍40,False
0412004100,藍41,False
0412004170,藍41延和,False
0412004300,藍43,False
0412004370,藍43延南天母,False
0412004400,藍44,False
0412004470,藍44延,False
0412004500,藍45,False
0412004600,藍46,False
0112005000,藍50,False
0112005100,藍51,False
0413000200,綠2右,False
0413000270,綠2左,False
0413000300,綠3,False
0413000500,綠5,False
0413000600,綠6,False
0413000700,綠7,False
0413000800,綠8,False
0413000900,綠9,False
0413000990,綠9耕莘,False
0413000970,綠9北新國小,False
0413001000,綠10,False
0113001100,綠11,False
0413001200,綠12,False
0413001300,綠13,False
0413001500,綠15,False
0113001700,綠17,False
0114000100,棕1,False
0114000200,棕2,False
0114000300,棕3,False
0114000500,棕5,False
0114000600,棕6,False
0414000700,棕7,False
0414000790,棕7建業路,False
0414000770,棕7綠野香坡,False
0114001000,棕10,False
0114001100,棕11,False
0114001110,棕11副,False
0114001200,棕12,False
0114001300,棕13,False
0114001500,棕15,False
0114001800,棕18,False
0114001900,棕19,False
0114002000,棕20,False
0114002100,棕21,False
0114002200,棕22,False
0415000100,橘1,False
0415000200,橘2,False
0415000300,橘3,False
0415000500,橘5,False
0415000900,橘9,False
0415001000,橘10,False
0415001200,橘12,False
0415001300,橘13,False
0415001700,橘17,False
0415001800,橘18,False
0415001870,橘18福隆路,False
0415001900,橘19,False
0415001910,橘19副,False
0415002000,橘20,False
0415002100,橘21,False
0415002200,橘22,False
0415002500,橘25,False
0415002600,橘26,False
0421000100,安坑1線,False
0421000200,安坑2線,False
0421000300,安坑3線,False
0421000500,安坑5線,False
0421000600,安坑6線,False
0151000100,小1,False
0151000120,小1區,False
0151000200,小2,False
0151000220,小2區,False
0151000300,小3,False
0151000500,小5,False
0151000520,小5區,False
0151000600,小6,False
0151000700,小7,False
0151000800,小8,False
0151000820,小8區,False
0151000900,小9(台灣好行-北投竹子湖),False
0151000920,小9區,False
